Task,base model,Iteration_1_model_305 Majority Vote Accept,Iteration_1_model_305 Majority Vote Reject,Iteration_1_model_305 Any Accept Accept,Iteration_1_model_305 Any Accept Reject,Iteration_3_model_(305_310_315) Majority Vote Accept,Iteration_3_model_(305_310_315) Majority Vote Reject,Iteration_3_model_(305_310_315) Any Accept Accept,Iteration_3_model_(305_310_315) Any Accept Reject
assembly,294,131,320,304,147,141,310,349,102
basketball,226,85,226,176,135,77,234,163,148
button-press,36,197,18,213,2,203,12,215,0
button-press-topdown,46,160,40,181,19,173,27,195,5
door-close,64,67,62,106,23,68,61,110,19
door-open,24,239,12,247,4,224,27,247,4
faucet-close,143,46,140,128,58,47,139,127,59
faucet-open,145,22,158,112,68,29,151,123,57
hammer,196,37,203,133,107,26,214,132,108
handle-press,55,116,49,160,5,118,47,157,8
shelf-place,37,267,30,293,4,265,32,294,3
